date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:42:25	24/24	---M--	200	added ('OK')	text/plain	date:Wed,%2017%20Nov%202021%2002:57:24%20GMT	https://www.agrolook.com/robots.txt		(from )
19:42:25	35989/35989	---M-Z	200	added ('OK')	text/html	date:Thu,%2025%20Jul%202024%2014:12:24%20GMT	https://www.agrolook.com/	C:/My%20Web%20Sites/agrolook1/www.agrolook.com/index.html	(from )
19:42:26	3351/3351	---M-Z	200	added ('OK')	text/css	etag:%225eb03cf0-d17%22	https://cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/assets/owl.carousel.min.css	C:/My%20Web%20Sites/agrolook1/cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/assets/owl.carousel.min.css	(from https://www.agrolook.com/)
19:42:27	1013/1013	---M-Z	200	added ('OK')	text/css	etag:%225eb03cf0-3f5%22	https://cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/assets/owl.theme.default.min.css	C:/My%20Web%20Sites/agrolook1/cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/assets/owl.theme.default.min.css	(from https://www.agrolook.com/)
19:42:28	77749/77749	---M-Z	200	added ('OK')	text/css	etag:%225eb03d2a-12fb5%22	https://cdnjs.cloudflare.com/ajax/libs/animate.css/3.7.0/animate.css	C:/My%20Web%20Sites/agrolook1/cdnjs.cloudflare.com/ajax/libs/animate.css/3.7.0/animate.css	(from https://www.agrolook.com/)
19:42:28	1276/1276	---M-Z	200	added ('OK')	text/css	etag:%225eb03fd5-4fc%22	https://cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.5.9/slick.min.css	C:/My%20Web%20Sites/agrolook1/cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.5.9/slick.min.css	(from https://www.agrolook.com/)
19:42:29	2299/2299	---M-Z	200	added ('OK')	text/css	etag:%225eb03fd5-8fb%22	https://cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.5.9/slick-theme.min.css	C:/My%20Web%20Sites/agrolook1/cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.5.9/slick-theme.min.css	(from https://www.agrolook.com/)
19:42:30	163873/163873	---M-Z	200	added ('OK')	text/css	etag:W/%2228021-7Ba9Gb9K6bwuIzasQJpQO7varK0%22	https://cdn.jsdelivr.net/npm/bootstrap@5.1.3/dist/css/bootstrap.min.css	C:/My%20Web%20Sites/agrolook1/cdn.jsdelivr.net/npm/bootstrap@5.1.3/dist/css/bootstrap.min.css	(from https://www.agrolook.com/)
19:42:30	3145/3145	---M-Z	200	added ('OK')	text/css	etag:W/%22c49-gaQ0+U8rESTzIyu4bylE+C+yOsA%22	https://cdn.jsdelivr.net/gh/kenwheeler/slick@1.8.1/slick/slick-theme.css	C:/My%20Web%20Sites/agrolook1/cdn.jsdelivr.net/gh/kenwheeler/slick@1.8.1/slick/slick-theme.css	(from https://www.agrolook.com/)
19:42:31	1776/1776	---M-Z	200	added ('OK')	text/css	etag:W/%226f0-qUoFmzF4tK3sCeMoGs4oGaMAlaQ%22	https://cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick.css	C:/My%20Web%20Sites/agrolook1/cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick.css	(from https://www.agrolook.com/)
19:42:33	48810/48810	---M--	200	added ('OK')	text/css	date:Wed,%2026%20Jun%202024%2010:11:00%20GMT	https://www.agrolook.com/assets/css/style.css	C:/My%20Web%20Sites/agrolook1/www.agrolook.com/assets/css/style.css	(from https://www.agrolook.com/)
19:42:34	121457/121457	---MCZ	200	added ('OK')	text/css	etag:W/%227f89537eaf606bff49f5cc1a7c24dbca%22	https://maxcdn.bootstrapcdn.com/bootstrap/3.4.1/css/bootstrap.min.css	C:/My%20Web%20Sites/agrolook1/maxcdn.bootstrapcdn.com/bootstrap/3.4.1/css/bootstrap.min.css	(from https://www.agrolook.com/)
19:42:35	89476/89476	---M--	200	added ('OK')	text/javascript	date:Fri,%2008%20May%202020%2007:05:03%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.5.1/jquery.min.js	C:/My%20Web%20Sites/agrolook1/ajax.googleapis.com/ajax/libs/jquery/3.5.1/jquery.min.js	(from https://www.agrolook.com/)
19:42:37	39680/39680	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2025%20Jan%202021%2022:04:00%20GMT	https://maxcdn.bootstrapcdn.com/bootstrap/3.4.1/js/bootstrap.min.js	C:/My%20Web%20Sites/agrolook1/maxcdn.bootstrapcdn.com/bootstrap/3.4.1/js/bootstrap.min.js	(from https://www.agrolook.com/)
19:42:38	35989/35989	---M-Z	200	added ('OK')	text/html	date:Thu,%2025%20Jul%202024%2014:12:37%20GMT	https://www.agrolook.com/index	C:/My%20Web%20Sites/agrolook1/www.agrolook.com/index-2.html	(from https://www.agrolook.com/)
19:42:39	365/365	---M--	200	added ('OK')	image/png	date:Fri,%2015%20Mar%202024%2010:07:26%20GMT	https://www.agrolook.com/assets/images/facebook-b-outline.png	C:/My%20Web%20Sites/agrolook1/www.agrolook.com/assets/images/facebook-b-outline.png	(from https://www.agrolook.com/)
19:42:39	561/561	---M--	200	added ('OK')	image/png	date:Tue,%2019%20Oct%202021%2009:01:08%20GMT	https://www.agrolook.com/assets/images/instagram.png	C:/My%20Web%20Sites/agrolook1/www.agrolook.com/assets/images/instagram.png	(from https://www.agrolook.com/)
19:42:39	1579/1579	---M--	200	added ('OK')	image/jpeg	date:Fri,%2015%20Mar%202024%2010:22:20%20GMT	https://www.agrolook.com/assets/images/twitter-b-outline.jpg	C:/My%20Web%20Sites/agrolook1/www.agrolook.com/assets/images/twitter-b-outline.jpg	(from https://www.agrolook.com/)
19:42:39	16474/16474	---M-Z	200	added ('OK')	text/html	date:Thu,%2025%20Jul%202024%2014:12:39%20GMT	https://www.agrolook.com/about	C:/My%20Web%20Sites/agrolook1/www.agrolook.com/about.html	(from https://www.agrolook.com/)
19:42:40	23217/23217	---M-Z	200	added ('OK')	text/html	date:Thu,%2025%20Jul%202024%2014:12:39%20GMT	https://www.agrolook.com/news	C:/My%20Web%20Sites/agrolook1/www.agrolook.com/news.html	(from https://www.agrolook.com/)
19:42:40	38128/38128	---M-Z	200	added ('OK')	text/html	date:Thu,%2025%20Jul%202024%2014:12:39%20GMT	https://www.agrolook.com/events	C:/My%20Web%20Sites/agrolook1/www.agrolook.com/events.html	(from https://www.agrolook.com/)
19:42:40	22139/22139	---M-Z	200	added ('OK')	text/html	date:Thu,%2025%20Jul%202024%2014:12:40%20GMT	https://www.agrolook.com/subscription	C:/My%20Web%20Sites/agrolook1/www.agrolook.com/subscription.html	(from https://www.agrolook.com/)
19:42:41	18244/18244	---M-Z	200	added ('OK')	text/html	date:Thu,%2025%20Jul%202024%2014:12:40%20GMT	https://www.agrolook.com/contact	C:/My%20Web%20Sites/agrolook1/www.agrolook.com/contact.html	(from https://www.agrolook.com/)
19:43:01	2181201/2181201	---M--	200	added ('OK')	image/jpeg	date:Fri,%2010%20May%202024%2008:35:46%20GMT	https://www.agrolook.com/assets/homepagebannersupload/agro%201.jpg	C:/My%20Web%20Sites/agrolook1/www.agrolook.com/assets/homepagebannersupload/agro%201.jpg	(from https://www.agrolook.com/)
19:43:01	2550901/2550901	---M--	200	added ('OK')	image/jpeg	date:Fri,%2010%20May%202024%2008:36:06%20GMT	https://www.agrolook.com/assets/homepagebannersupload/agro%202.jpg	C:/My%20Web%20Sites/agrolook1/www.agrolook.com/assets/homepagebannersupload/agro%202.jpg	(from https://www.agrolook.com/)
19:43:01	2014913/2014913	---M--	200	added ('OK')	image/jpeg	date:Fri,%2010%20May%202024%2008:37:20%20GMT	https://www.agrolook.com/assets/homepagebannersupload/agro%203.jpg	C:/My%20Web%20Sites/agrolook1/www.agrolook.com/assets/homepagebannersupload/agro%203.jpg	(from https://www.agrolook.com/)
19:43:02	67764/67764	---M--	200	added ('OK')	image/jpeg	date:Mon,%2006%20Dec%202021%2004:58:40%20GMT	https://www.agrolook.com/assets/homepagemagazinesupload/article1.jpg	C:/My%20Web%20Sites/agrolook1/www.agrolook.com/assets/homepagemagazinesupload/article1.jpg	(from https://www.agrolook.com/)
19:43:02	4559529/4559529	---M--	200	added ('OK')	image/jpeg	date:Tue,%2013%20Jul%202021%2007:24:24%20GMT	https://www.agrolook.com/assets/images/Agrolook.jpg	C:/My%20Web%20Sites/agrolook1/www.agrolook.com/assets/images/Agrolook.jpg	(from https://www.agrolook.com/)
19:43:02	65972/65972	---M--	200	added ('OK')	image/jpeg	date:Mon,%2006%20Dec%202021%2006:33:28%20GMT	https://www.agrolook.com/assets/homepagearticlesupload/article2.jpg	C:/My%20Web%20Sites/agrolook1/www.agrolook.com/assets/homepagearticlesupload/article2.jpg	(from https://www.agrolook.com/)
19:43:02	18897/18897	---M-Z	200	added ('OK')	text/html	date:Thu,%2025%20Jul%202024%2014:13:02%20GMT	https://www.agrolook.com/news/by_fy28_indian_agro-chemicals_industry_projected_to_reach_14.5_billion_report	C:/My%20Web%20Sites/agrolook1/www.agrolook.com/news/by_fy28_indian_agro-chemicals_industry_projected_to_reach_14.html	(from https://www.agrolook.com/)
19:43:03	38439/38439	---M--	200	added ('OK')	image/png	date:Fri,%2012%20Jul%202024%2004:53:43%20GMT	https://www.agrolook.com/assets/eventsupcomingupload/Screenshot%202024-07-12%20101924.png	C:/My%20Web%20Sites/agrolook1/www.agrolook.com/assets/eventsupcomingupload/Screenshot%202024-07-12%20101924.png	(from https://www.agrolook.com/)
19:43:03	59660/59660	---M--	200	added ('OK')	image/jpeg	date:Fri,%2022%20Oct%202021%2009:29:10%20GMT	https://www.agrolook.com/assets/images/social-dummy.jpg	C:/My%20Web%20Sites/agrolook1/www.agrolook.com/assets/images/social-dummy.jpg	(from https://www.agrolook.com/)
19:43:03	309633/309633	---M--	200	added ('OK')	image/png	date:Mon,%2001%20Jul%202024%2007:56:46%20GMT	https://www.agrolook.com/assets/eventsupcomingupload/Screenshot%202024-07-01%20132624.png	C:/My%20Web%20Sites/agrolook1/www.agrolook.com/assets/eventsupcomingupload/Screenshot%202024-07-01%20132624.png	(from https://www.agrolook.com/)
19:43:04	4384/4384	---M--	200	added ('OK')	image/jpeg	date:Sun,%2026%20Sep%202021%2015:28:36%20GMT	https://www.agrolook.com/assets/images/TabFb.jpg	C:/My%20Web%20Sites/agrolook1/www.agrolook.com/assets/images/TabFb.jpg	(from https://www.agrolook.com/)
19:43:04	7329/7329	---M--	200	added ('OK')	image/png	date:Fri,%2022%20Oct%202021%2009:19:58%20GMT	https://www.agrolook.com/assets/images/TabInsta.png	C:/My%20Web%20Sites/agrolook1/www.agrolook.com/assets/images/TabInsta.png	(from https://www.agrolook.com/)
19:43:04	3677/3677	---M--	200	added ('OK')	image/png	date:Fri,%2022%20Oct%202021%2009:13:18%20GMT	https://www.agrolook.com/assets/images/TabTwitter.png	C:/My%20Web%20Sites/agrolook1/www.agrolook.com/assets/images/TabTwitter.png	(from https://www.agrolook.com/)
19:43:04	73682/73682	---M--	200	added ('OK')	image/png	date:Fri,%2031%20May%202024%2011:17:00%20GMT	https://www.agrolook.com/assets/homepagesponsorsupload/big%20mml.png	C:/My%20Web%20Sites/agrolook1/www.agrolook.com/assets/homepagesponsorsupload/big%20mml.png	(from https://www.agrolook.com/)
19:43:05	24663/24663	---M--	200	added ('OK')	image/png	date:Fri,%2031%20May%202024%2010:18:46%20GMT	https://www.agrolook.com/assets/homepagepartnersupload/cacac.png	C:/My%20Web%20Sites/agrolook1/www.agrolook.com/assets/homepagepartnersupload/cacac.png	(from https://www.agrolook.com/)
19:43:05	15693/15693	---M--	200	added ('OK')	image/jpeg	date:Fri,%2031%20May%202024%2010:21:02%20GMT	https://www.agrolook.com/assets/homepagepartnersupload/PMFAI-logo.jpg	C:/My%20Web%20Sites/agrolook1/www.agrolook.com/assets/homepagepartnersupload/PMFAI-logo.jpg	(from https://www.agrolook.com/)
